ID,word,sentence,gpt4_image_path,english_sentence,definition
49,冷,你面色冷吱吱。,ID_49.png,Your face is so cold.,"1. 寒、涼、溫度低。
2. 淡漠、不熱烈。
3. 平心靜氣、沉著穩重。
4. 附錄－百家姓"
50,冷氣,我無錢開冷氣。,ID_50.png,I don't have money to pay for air conditioning.,"1. 一種空氣調節的電器產品。利用機器運轉達到調節室內溫度、溼度的作用。
2. 寒冷的空氣。"
54,出勤,伊的工課真認真，無捌延一擺出勤。,ID_54.png,He is very serious about his work and has never missed a day of being on duty.,"1. 上班辦事。
2. 外出辦公。"
55,出名,伊是上蓋出名的人。,ID_55.png,He is the most famous person.,1. 有名、著名。
57,出擢,伊的囡仔真出擢。,ID_57.png,His children are very talented.,1. 傑出。才能、成就卓越出眾。
58,出產,彼个所在毋但會當種茶，閣有咧出產塗豆。,ID_58.png,"That place not only can grow tea, but also produces peanuts.","1. 生產。
2. 各地方的物產。"
60,出門,伊一工都無出門。,ID_60.png,He didn't go out for a single day.,1. 離家外出。
61,出風頭,有影啦，你這个人真正愛出風頭的。,ID_61.png,"Really, you love to show off.",1. 顯露或炫耀自己的特長，以博得眾人的讚譽。
62,刀,你敢有帶著刀。,ID_62.png,Do you have a knife with you?,"1. 供切、削、剪、刻、割、斬等用途的工具。
2. 計算切割次數的單位。
3. 計算紙張的單位；通常一百張為一刀。"
63,分派,看伊生做有夠標緻，就共人分派去跳舞。,ID_63.png,"Seeing that he looks good enough, they were assigned to dance.",1. 分發派遣。
64,分配,這筆錢愛做一下仔分配。,ID_64.png,This money needs to be distributed.,1. 區分支配。
66,刑罰,你毋通想講我無對你刑罰。,ID_66.png,Don't think I won't punish you.,1. 對犯罪者所執行的處罰。
67,划,彼个人欲佮我划船。,ID_67.png,That person wants to compete with me in rowing.,1. 撥水前進。
68,別位,無代誌莫走去別位。,ID_68.png,Don't go somewhere else if you're not doing anything.,1. 其他的地方。
71,到,人客來到遮，來坐。,ID_71.png,"Guests, come and have a seat here.","1. 抵達、到達。
2. 到了、到期。
3. 賭博時表示胡牌的用語。"
72,券,你若無錢，我共你開一張欠券。,ID_72.png,"If you don't have money, I can write a promissory note for you.","1. 可以用來作為憑證的票據。
2. 書面文件。"
75,剉柴,我做囡仔的時陣，捌佮人去剉柴。,ID_75.png,"When I was a child, I used to go with others to chop wood.",1. 砍柴、劈柴。以刀斜劈的方式將柴砍下。
76,削,伊真𠢕削鉛筆。,ID_76.png,He is very good at sharpening pencils.,"1. 去皮、刨。
2. 刪除。
3. 拚鬥、競爭。
4. 挖苦、使人難堪、丟臉。"
77,剝,你這个皮衫破一空，愛去共伊剝一下。,ID_77.png,"You have a hole in your jacket, you need to patch it.","1. 除去物體的外殼或外皮。
2. 將附著在某物體上的東西取下、脫下或拿下。
3. 用暴力的方式搶奪殆盡。"
78,副,伊是我的副手。,ID_78.png,He is my assistant.,"1. 計算成套、成組、成雙的物品單位。
2. 次要的、協助的。
3. 附帶的。"
80,創造,創造真濟物件，攏是用伊的智慧。,ID_80.png,He created many things with his wisdom.,1. 發明製造、建造。
81,剺,彼塊肉你剺一下。,ID_81.png,Cut that piece of meat.,"1. 用刀子插入物體內，然後順勢拉開不切斷。
2. 用刀子淺淺地劃開。
3. 刀、道。計算被刀子割到傷口的單位。
4. 撕。"
82,力,伊的氣力真大，搬彼塊石頭,ID_82.png,"His strength is really big, he can lift that stone.","1. 力量、氣力。
2. 泛指一切事物所具有的效能或作用。"
83,劫,去共人搶錢，這叫做「劫」。,ID_83.png,Robbing someone is called a robbery.,"1. 搶奪、強取。
2. 災難、災禍。"
84,勇,伊生做真勇。,ID_84.png,He is very strong.,"1. 健康、強壯。
2. 物品堅固耐用。
3. 不懼怕。"
85,勇健,𪜶的囡仔誠勇健。,ID_85.png,Their children are very healthy.,1. 健朗。形容身體健康硬朗。
86,勇壯,你這款的體格，就是真勇壯。,ID_86.png,"You have such a strong physique, which means you are very strong.",1. 身體強壯。
90,勉強,勉強人做伊無愛做的代誌。,ID_90.png,Forcing someone to do something they don't want to do.,1. 勉強。強迫別人去做他所不願意做的事。
91,動,火車若走袂振動。,ID_91.png,"If the train doesn't move, it means that it is not running.","1. 改變原狀，靜的相反。
2. 開始去做。
3. 運用。
4. 行為。"
93,勾,伊毋願佮人去，就予你共勾去。,ID_93.png,"He didn't want to go with others, so I'll take him.","1. 用彎曲的物品拿取東西。
2. 引誘。
3. 圈點、作記號。"
94,包,伊的皮包真大。,ID_94.png,His bag is very big.,"1. 把東西裹起來。
2. 打包。
3. 保證。
4. 計算包裝物的單位。
5. 成袋包裝的物品。
6. 泛指外皮為麵粉做成的包餡食物。
7. 姓氏。
8. 含。
9. 約定專用或按期限付費接受服務。
10. 附錄－百家姓"
95,包袱仔,手捾包袱仔，欲來去臺北,ID_95.png,"Carrying a bag, I am going to Taipei.","1. 包袱。用布包成，便於攜帶的行李。
2. 指背負負面的責任。"
96,包裝,這个物件的包裝真幼路。,ID_96.png,The packaging of this thing is very delicate.,1. 包紮裝飾。
97,包裝,你看伊彼个包裝，敢有夠奅的。,ID_97.png,"You see his packaging, it's really cool.",1. 包紮裝飾。
98,包餡,無偌久，包餡粿就包好矣,ID_98.png,"Not long, the filled bun was finished.",1. 包有內容物。
101,千里鏡,我提一塊仔千里鏡。,ID_101.png,I have a telescope.,1. 望遠鏡。用來觀察天體或者是遠處物體的儀器。
102,千金,你這个查某囝，是恁老爸的千金。,ID_102.png,You are your father's only daughter.,"1. 禮貌性的稱呼別人的女兒。
2. 表示很多錢，很有價值。"
104,半丁,伊的囡仔是半丁。,ID_104.png,His child is a half-orphan.,"1. 不成材的人。
2. 病夫。體質孱弱容易生病的人。"
105,半晡,早頓食飽矣，已經半晡。,ID_105.png,I ate breakfast and it's already noon.,1. 半天，或指一天中的一段時間。
107,半生熟,青菜煮甲半生熟。,ID_107.png,The vegetables are cooked to a half-matured state.,1. 半生不熟。形容食物煮得不夠熟透。
108,半空中,我欲飛去半空中。,ID_108.png,I want to fly up into the air.,1. 半空、空中。
109,半路,行到半路，拄著大雨。,ID_109.png,"Walking halfway, encountered heavy rain.","1. 半途、中途、途中。
2. 比喻事情進展的過程中。"
121,厚禮數,伊足厚禮數的。,ID_121.png,He is very polite.,1. 多禮。禮數周到。
123,厚重,伊彼軀衫穿起來誠厚重。,ID_123.png,He looks very heavy in that outfit.,1. 指物品的質地比較沉、比較重。
125,厝尾頂,雨落甲遮大，厝尾頂的瓦必起來矣。,ID_125.png,The rain is so big that the tiles on the roof of the house have come loose.,"1. 屋頂最高的邊緣。或與「厝頂」混用。
2. 頂樓上面的露臺。"
126,厝瓦,伊是厝瓦頂懸的燕仔岫。,ID_126.png,He is a swallow nest on the roof.,1. 屋頂的瓦片。
129,厝,佇彼个時陣，阮兜的厝就誠濟人來借蹛。,ID_129.png,"At that time, many people came to my house for temporary residence.",1. 房屋。
132,厝頭家,伊是阮的厝頭家。,ID_132.png,He is our landlord.,1. 房東。出租房屋的人。
134,厲害,伊的功夫足厲害。,ID_134.png,His skills are very good.,"1. 嚴重。
2. 強烈、猛烈。"
142,叔伯兄弟,我這个親戚是伊的叔伯兄弟。,ID_142.png,My relative is his cousin.,1. 堂兄弟。稱謂。稱父親兄弟的兒子。
144,古,古早人較有情。,ID_144.png,People used to be more sentimental.,"1. 過去久遠的時代。
2. 過去的事物、故事。
3. 樸拙有古風。
4. 不好、爛。
5. 附錄－百家姓"
145,古冊,看彼本古冊。,ID_145.png,Read that ancient book.,"1. 古書、古籍。古時候的書籍。
2. 故事書、舊小說。
3. 漫畫書。"
146,古書,你這个人，真𠢕讀古書,ID_146.png,You are really good at reading ancient books.,"1. 善本書、二手書、古舊的書籍。
2. 故事書。"
153,叫菜,欲共你講代誌，毋是教囡仔咧叫菜,ID_153.png,"I want to tell you something, not to teach children how to call out food.",1. 點菜。
157,可愛,伊真古錐，予人看著會感覺心內足可愛的。,ID_157.png,"He is very cute, and when people see him, they feel very lovable.",1. 討人喜愛。
158,可愛,伊真古錐，實在足可愛的。,ID_158.png,He is very cute and really adorable.,1. 討人喜愛。
159,可愛,伊彼工穿甲真可愛。,ID_159.png,He looked very cute that day.,1. 討人喜愛。
165,合,一个人佮兩个做伙，就是合。,ID_165.png,"One person and two people together, that's a total of three.","1. 契合。
2. 符合、吻合。
3. 適合、協調。
4. 中意。
5. 閉合。
6. 聚攏在一起。
7. 相符、不違背。
8. 共同的、一起的。
9. 計算容積的單位。一升的十分之一。"
166,合味,真好食。你敢知影伊的口味，佮我的口味足合味的。,ID_166.png,It tastes very good. Do you know his taste? It matches mine perfectly.,"1. 對味。形容食物的味道搭配得恰到好處，合於飲食者喜好。
2. 合於飲食者所習慣或喜歡的味道。"
172,吊車尾,伊真會曉讀冊，毋過這學期煞予人𤆬去吊車尾。,ID_172.png,"He is very good at studying, but this semester he was the last in the class.",1. 敬陪末座。原意為剛好趕上最後一個上車，後引申為在比賽中排最後一名。
174,同情,你真好心，毋過我無愛人共我同情。,ID_174.png,"You are kind-hearted, but I don't want anyone to pity me.",1. 看到別人的遭遇而感到憐憫。
182,向前,行路愛向前，做代誌莫越頭。,ID_182.png,"Walk forward, don't look back when doing things.",1. 往前、向著前方。
188,吩咐,吩咐代誌，伊無咧聽。,ID_188.png,He didn't listen when told to do something.,"1. 叮嚀、叮囑。
2. 口頭上派遺、囑咐。有上級命令下屬的意味。
3. 交代。
4. 預訂。"
195,呼請,你著愛緊去予伊呼請。,ID_195.png,You need to go quickly and invite him.,"1. 呼叫請求、召喚請求。
2. 用某種儀式召請神明或祖先降臨。"
196,咇噗跳,歡喜甲咇噗跳。,ID_196.png,Happy to jump.,1. 因緊張或害怕而使得心跳加速。
198,咧欲,代誌攏咧欲做煞矣。,ID_198.png,The thing is almost finished.,1. 快要、將要。
200,哀怨,伊的面色有淡薄仔哀怨。,ID_200.png,His expression has a slight look of sadness.,1. 形容哀傷怨恨。
201,品,伊的穿插真有品味。,ID_201.png,His attire has a very refined taste.,"1. 指人的格調與德性。
2. 約定、議定。
3. 誇耀、吹捧。
4. 某一類東西的總稱。
5. 等級。"
210,喙鬚,你敢會曉剃喙鬚？,ID_210.png,Do you know how to shave your beard?,1. 鬍鬚。
211,喙鬚,伊無喙鬚，若囡仔。,ID_211.png,"He has no beard, like a child.",1. 鬍鬚。
212,喙齒,伊的喙齒有夠利。,ID_212.png,His teeth are very sharp.,1. 牙齒。
216,嗽,彼个人有嗽，你著去𤆬伊去看醫生,ID_216.png,"That person has a cough, you should take him to see the doctor.",1. 咳、咳嗽。
234,囝婿,有才調當阿公的人，才有人欲做你囝婿。,ID_234.png,Only those who can be grandfathers can have people want to become their daughters-in-law.,1. 女婿。稱謂。女兒的丈夫。
237,囡仔,囡仔有夠古錐。,ID_237.png,The child is very cute.,1. 小孩子。
239,囡仔工,人攏講，伊是囡仔工。,ID_239.png,People say he is a child worker.,1. 年齡幼小的勞動者、童工。
246,固定,伊逐工攏固定會來。,ID_246.png,He comes every day.,"1. 固定、確定。
2. 穩定的、不變動的。"
248,圍爐,逐家攏欲轉去圍爐。,ID_248.png,Everyone wants to go home for the New Year's Eve.,1. 除夕夜的時候，全家人一起圍著吃年夜飯。
249,圍爐,伊有咧做圍爐菜。,ID_249.png,He is making the dishes for the New Year's Eve.,1. 除夕夜的時候，全家人一起圍著吃年夜飯。
252,圓圓,伊面仔像碗公咧，閣會當食甲圓圓。,ID_252.png,"His face is like a bowl, and he can still eat until he's fat.",1. 圓圓的。
259,地方,伊是地方的士紳。,ID_259.png,He is a local gentleman.,"1. 區域、地區。
2. 對國家或中央政府而言。"
266,坐位,伊共我叫去邊仔的坐位。,ID_266.png,He called me to the side seat.,"1. 座位。
2. 登基、即位。"
269,垂,樹枝予風吹甲落到塗跤，若親像人直直頭垂。,ID_269.png,"The branches of the tree were blown down to the ground, just like a person with their head hanging low.","1. 液體滴下來。
2. 東西下墜、向下掉落。
3. 流傳。"
270,坵,頭前一坵田無種，後壁煞有。,ID_270.png,"There is no cultivation in the front field, but there is in the back field.",1. 塊、畦。計算田地的單位。
271,坱埃,風飛沙，坱埃。,ID_271.png,The wind is blowing sand and dust.,"1. 灰塵、塵埃。隨風翻飛的塵土。
2. 形容塵土飛揚的樣子。"
275,埕,伊的厝埕誠大。,ID_275.png,His courtyard is very large.,1. 庭院、廣場、曬物場。
276,埕斗,阿媽的厝頂是塗埕斗。,ID_276.png,Grandma's roof is a concrete floor.,1. 院子。
279,報,伊是阮的報馬仔。,ID_279.png,He is our informant.,"1. 告訴、告知。
2. 申請加入。
3. 回應、答覆。
4. 報銷（帳款）。
5. 提供消息的出版品。"
282,塌,這个所在予人拆甲倒塌落來。,ID_282.png,This place collapsed due to being torn down.,"1. 凹陷。
2. 虧、賠。
3. 補足，把不足的補上。
4. 將弧度相似的東西依其弧度互疊套在一起。"
290,塗跤,塗跤伊也無掃。,ID_290.png,The floor is not swept.,1. 地面、地上、地板。
291,塚,古早有墓地叫做塚。,ID_291.png,"In the past, there were cemeteries called tumuli.",1. 墳墓。是一種較文雅的說法。
294,壁,伊是面壁思過。,ID_294.png,He is facing the wall and meditating.,1. 牆垣。
295,壁櫥,你的房間內，敢有囥壁櫥？,ID_295.png,Do you have a closet in your room?,1. 嵌入牆裡的櫥櫃。
298,夏,春去無蹤，夏來花紅。,ID_298.png,"Spring has passed, summer is here.","1. 一年中的第二季。
2. 古朝代名。
3. 姓氏。
4. 附錄－百家姓"
