ID,word,definition,eng_def,sentence,gpt4_image_path,english_sentence
29,光,"1. 視覺所能接受的一種波，給人亮的感覺。
2. 變亮。
3. 明亮、發亮的樣子。
4. 無遮掩。
5. 通曉、明白。
6. 平滑。
7. 閃亮耀眼，多用在抽象的感覺。","'1. A type of wave perceivable by vision, giving a sensation of brightness.
2. Becoming brighter.
3. The state of being bright or shining.
4. Unobscured.
5. Knowledgeable, clear.
6. Smooth.
7. Dazzling, often used for abstract sensations.'",日頭出來矣，天就變甲光。,ID_29.png,"As soon as the sun came out, the sky turned bright."
30,光映映,1. 形容非常光亮的樣子。,'1. Describing something as extremely bright.',天色光映映。,ID_30.png,The sky is bright and clear.
32,入來,1. 進來。從外面進到裡面。,'1. Come in. Move from outside to inside.',你共我入來看。,ID_32.png,Come inside and take a look at me.
33,入學,1. 開始進入學校學習、求學。,'1. Start to enter school and pursue education.',咱若講著囡仔欲入去學校讀冊，古早人就講是「入學」,ID_33.png,"If we talk about children going to school to study, the ancients say it is ""entering school""."
34,入院,1. 住院。因為生病住進醫院就醫。,'1. Hospitalized. Admitted to the hospital for medical treatment due to illness.',伊因為車禍去予人送來入院。,ID_34.png,He was sent to the hospital because of a car accident.
35,入院,1. 住院。因為生病住進醫院就醫。,'1. Hospitalization. Admitted to the hospital due to illness.',你這个病真嚴重，著愛緊入院。,ID_35.png,"Your illness is very serious, you need to be admitted to the hospital quickly."
43,公眾,1. 大眾。指一般人民、群眾。,"'The public. Refers to the general populace, the masses.'",伊是公眾人物。,ID_43.png,He is a public figure.
44,公開,"1. 揭露、不加掩飾。
2. 開放的，人人可見的。
3. 眾人一起負擔金錢上的支出。","'1. Unveil, without any cover-up.
2. Open, visible to everyone.
3. Everyone collectively bears the financial expenditure.'",你愛公開予人知影。,ID_44.png,You must let people know.
45,冊,"1. 書。古代編綴竹簡成冊，後來泛指書籍、簿本。
2. 計算套裝書的單位。","'1. Book. In ancient times, compilations of bamboo slips were termed as books, later generally referring to books or volumes. 
2. The unit to calculate sets of books.'",你若無讀冊，就會做戇癮頭,ID_45.png,"If you don't study, you will become a fool."
46,冬,"1. 一年中的第四季。
2. 計算年的單位。代表一年的時間。
3. 年頭收成的狀況。
4. 農作物的收成季。","'1. The fourth season of the year.
2. The unit for calculating years. Represents the time of a year.
3. The harvest condition at the beginning of the year.
4. The harvest season for crops.'",春天拄來的時，冬天就欲過去,ID_46.png,"When spring first arrives, winter is almost over."
47,冬菜,1. 經過曬乾、加蒜、鹽漬的山東白菜，可以供烹飪煮食用。,"'The Shandong white cabbage, after being sun-dried, garlic added, and salted, can be used for cooking and boiling.'",我食的冬節糜，是摻冬菜落去煮,ID_47.png,The winter solstice porridge I eat is cooked with winter vegetables.
49,冷,"1. 寒、涼、溫度低。
2. 淡漠、不熱烈。
3. 平心靜氣、沉著穩重。
4. 附錄－百家姓","'1. Cold, cool, low temperature.
2. Indifferent, not passionate.
3. Calm and composed, steady and serious.
4. Appendix - Hundred Family Surnames.'",你面色冷吱吱。,ID_49.png,Your face is so cold.
54,出勤,"1. 上班辦事。
2. 外出辦公。","'1. Working at the office.
2. Working outside/away from the office.'",伊的工課真認真，無捌延一擺出勤。,ID_54.png,He is very serious about his work and has never missed a day of being on duty.
55,出名,1. 有名、著名。,"Translate the following text into English:
'1. Famous, renowned.'",伊是上蓋出名的人。,ID_55.png,He is the most famous person.
57,出擢,1. 傑出。才能、成就卓越出眾。,"'Translate the following text into English:
'1. Outstanding. Talent and achievement are exceptional and remarkable.'",伊的囡仔真出擢。,ID_57.png,His children are very talented.
58,出產,"1. 生產。
2. 各地方的物產。","'1. Production.
2. The local products from various places.'",彼个所在毋但會當種茶，閣有咧出產塗豆。,ID_58.png,"That place not only can grow tea, but also produces peanuts."
61,出風頭,1. 顯露或炫耀自己的特長，以博得眾人的讚譽。,'1. To reveal or show off one's strengths in order to win public praise.',有影啦，你這个人真正愛出風頭的。,ID_61.png,"Really, you love to show off."
62,刀,"1. 供切、削、剪、刻、割、斬等用途的工具。
2. 計算切割次數的單位。
3. 計算紙張的單位；通常一百張為一刀。","'1. Tools for cutting, trimming, clipping, carving, slicing, and chopping, etc.
2. A unit for calculating the number of cuts.
3. A unit for counting paper; usually one hundred sheets is considered as one cut.'",你敢有帶著刀。,ID_62.png,Do you have a knife with you?
63,分派,1. 分發派遣。,'Distribute dispatch.',看伊生做有夠標緻，就共人分派去跳舞。,ID_63.png,"Seeing that he looks good enough, they were assigned to dance."
67,划,1. 撥水前進。,'The translation is: '1. Move forward by paddling.',彼个人欲佮我划船。,ID_67.png,That person wants to compete with me in rowing.
68,別位,1. 其他的地方。,'1. Other places.',無代誌莫走去別位。,ID_68.png,Don't go somewhere else if you're not doing anything.
72,券,"1. 可以用來作為憑證的票據。
2. 書面文件。","'1. Vouchers that can be used as proof.
2. Written documents.'",你若無錢，我共你開一張欠券。,ID_72.png,"If you don't have money, I can write a promissory note for you."
76,削,"1. 去皮、刨。
2. 刪除。
3. 拚鬥、競爭。
4. 挖苦、使人難堪、丟臉。","1. Peel, plane.
2. Delete.
3. Struggle, compete.
4. Sarcasm, embarrass, lose face.",伊真𠢕削鉛筆。,ID_76.png,He is very good at sharpening pencils.
82,力,"1. 力量、氣力。
2. 泛指一切事物所具有的效能或作用。","'1. Strength, physical power. 
2. Typically refers to the potency or effect that every object has.'",伊的氣力真大，搬彼塊石頭,ID_82.png,"His strength is really big, he can lift that stone."
84,勇,"1. 健康、強壯。
2. 物品堅固耐用。
3. 不懼怕。","'1. Healthy, strong.
2. Durable goods.
3. Fearless.'",伊生做真勇。,ID_84.png,He is very strong.
85,勇健,1. 健朗。形容身體健康硬朗。,"'Translate the following text into English:
'1. Robust. Describes good physical health and toughness.'",𪜶的囡仔誠勇健。,ID_85.png,Their children are very healthy.
90,勉強,1. 勉強。強迫別人去做他所不願意做的事。,'The translation is: '1. To force. Coercing others into doing what they are unwilling to do.',勉強人做伊無愛做的代誌。,ID_90.png,Forcing someone to do something they don't want to do.
91,動,"1. 改變原狀，靜的相反。
2. 開始去做。
3. 運用。
4. 行為。","'1. Change the status quo, the opposite of calm.
2. Start to do.
3. Utilize.
4. Behavior.'",火車若走袂振動。,ID_91.png,"If the train doesn't move, it means that it is not running."
93,勾,"1. 用彎曲的物品拿取東西。
2. 引誘。
3. 圈點、作記號。","1. Use curved objects to pick up things.
2. Temptation.
3. Circle, make a mark.",伊毋願佮人去，就予你共勾去。,ID_93.png,"He didn't want to go with others, so I'll take him."
94,包,"1. 把東西裹起來。
2. 打包。
3. 保證。
4. 計算包裝物的單位。
5. 成袋包裝的物品。
6. 泛指外皮為麵粉做成的包餡食物。
7. 姓氏。
8. 含。
9. 約定專用或按期限付費接受服務。
10. 附錄－百家姓","'1. Wrap things up.
2. Pack up.
3. Guarantee.
4. Calculate the unit of packaging.
5. Packaged items in a bag.
6. Generally refers to stuffed food with flour shell.
7. Surname.
8. Contain.
9. Agree to use or pay for services for a specific period.
10. Appendix - Hundred Family Surnames.'",伊的皮包真大。,ID_94.png,His bag is very big.
95,包袱仔,"1. 包袱。用布包成，便於攜帶的行李。
2. 指背負負面的責任。","'1. Bundle. Luggage made by wrapping in cloth, convenient for carrying.
2. Refers to carrying negative responsibilities.'",手捾包袱仔，欲來去臺北,ID_95.png,"Carrying a bag, I am going to Taipei."
98,包餡,1. 包有內容物。,'The package contains items.',無偌久，包餡粿就包好矣,ID_98.png,"Not long, the filled bun was finished."
101,千里鏡,1. 望遠鏡。用來觀察天體或者是遠處物體的儀器。,'1. Telescope. An instrument used to observe celestial bodies or distant objects.',我提一塊仔千里鏡。,ID_101.png,I have a telescope.
102,千金,"1. 禮貌性的稱呼別人的女兒。
2. 表示很多錢，很有價值。","'1. A polite way to address someone else's daughter.
2. Indicates a lot of money, very valuable.'",你這个查某囝，是恁老爸的千金。,ID_102.png,You are your father's only daughter.
104,半丁,"1. 不成材的人。
2. 病夫。體質孱弱容易生病的人。","'1. A good-for-nothing person.
2. An invalid. A person with weak constitution who is prone to illness.'",伊的囡仔是半丁。,ID_104.png,His child is a half-orphan.
105,半晡,1. 半天，或指一天中的一段時間。,"Translate the following text into English:
'1. Half a day, or a period of time in a day.'",早頓食飽矣，已經半晡。,ID_105.png,I ate breakfast and it's already noon.
107,半生熟,1. 半生不熟。形容食物煮得不夠熟透。,'1. Half-cooked. It describes food that is not thoroughly cooked.',青菜煮甲半生熟。,ID_107.png,The vegetables are cooked to a half-matured state.
108,半空中,1. 半空、空中。,"'Translate the following into English: 
'1. Mid-air, in the air.'",我欲飛去半空中。,ID_108.png,I want to fly up into the air.
109,半路,"1. 半途、中途、途中。
2. 比喻事情進展的過程中。","1. Halfway, midway, on the way.
2. Metaphorically refers to the process of events unfolding.",行到半路，拄著大雨。,ID_109.png,"Walking halfway, encountered heavy rain."
121,厚禮數,1. 多禮。禮數周到。,'1. Be polite. Be thorough in manners.',伊足厚禮數的。,ID_121.png,He is very polite.
123,厚重,1. 指物品的質地比較沉、比較重。,'The texture of the item is denser and heavier.',伊彼軀衫穿起來誠厚重。,ID_123.png,He looks very heavy in that outfit.
125,厝尾頂,"1. 屋頂最高的邊緣。或與「厝頂」混用。
2. 頂樓上面的露臺。","'1. The highest edge of the roof. Can also be interchangeably used with ""top of the house.""
2. The terrace on the top floor.'",雨落甲遮大，厝尾頂的瓦必起來矣。,ID_125.png,The rain is so big that the tiles on the roof of the house have come loose.
126,厝瓦,1. 屋頂的瓦片。,'The tiles on the roof.',伊是厝瓦頂懸的燕仔岫。,ID_126.png,He is a swallow nest on the roof.
129,厝,1. 房屋。,'1. House.',佇彼个時陣，阮兜的厝就誠濟人來借蹛。,ID_129.png,"At that time, many people came to my house for temporary residence."
132,厝頭家,1. 房東。出租房屋的人。,'1. Landlord. The person who rents out a house.',伊是阮的厝頭家。,ID_132.png,He is our landlord.
134,厲害,"1. 嚴重。
2. 強烈、猛烈。","1. Serious.
2. Intense, fierce.",伊的功夫足厲害。,ID_134.png,His skills are very good.
142,叔伯兄弟,1. 堂兄弟。稱謂。稱父親兄弟的兒子。,'1. Cousin. A term of address. It refers to the son of a father's brother.',我這个親戚是伊的叔伯兄弟。,ID_142.png,My relative is his cousin.
144,古,"1. 過去久遠的時代。
2. 過去的事物、故事。
3. 樸拙有古風。
4. 不好、爛。
5. 附錄－百家姓","1. A long time ago.
2. Things and stories from the past.
3. Simple and old-fashioned.
4. Bad or terrible.
5. Appendix - Hundred Family Surnames.",古早人較有情。,ID_144.png,People used to be more sentimental.
145,古冊,"1. 古書、古籍。古時候的書籍。
2. 故事書、舊小說。
3. 漫畫書。","'1. Ancient books, classics. Books from the ancient times.
2. Story books, old novels.
3. Comic books.'",看彼本古冊。,ID_145.png,Read that ancient book.
146,古書,"1. 善本書、二手書、古舊的書籍。
2. 故事書。","'1. Rare books, second-hand books, and ancient books.
2. Story books.'",你這个人，真𠢕讀古書,ID_146.png,You are really good at reading ancient books.
153,叫菜,1. 點菜。,"""1. Order food.""",欲共你講代誌，毋是教囡仔咧叫菜,ID_153.png,"I want to tell you something, not to teach children how to call out food."
157,可愛,1. 討人喜愛。,'1. Endearing.',伊真古錐，予人看著會感覺心內足可愛的。,ID_157.png,"He is very cute, and when people see him, they feel very lovable."
158,可愛,1. 討人喜愛。,"Translate the following text into English: 
'1. Likable.'",伊真古錐，實在足可愛的。,ID_158.png,He is very cute and really adorable.
159,可愛,1. 討人喜愛。,Translate the following text into English: '1. Popularly liked.',伊彼工穿甲真可愛。,ID_159.png,He looked very cute that day.
165,合,"1. 契合。
2. 符合、吻合。
3. 適合、協調。
4. 中意。
5. 閉合。
6. 聚攏在一起。
7. 相符、不違背。
8. 共同的、一起的。
9. 計算容積的單位。一升的十分之一。","'1. Match.
2. Correspond, coincide.
3. Suitable, harmonize.
4. Favor.
5. Close.
6. Gather together.
7. Conform, not violate.
8. Common, together.
9. Unit of volume measurement, one-tenth of a liter.'",一个人佮兩个做伙，就是合。,ID_165.png,"One person and two people together, that's a total of three."
166,合味,"1. 對味。形容食物的味道搭配得恰到好處，合於飲食者喜好。
2. 合於飲食者所習慣或喜歡的味道。","'1. Good match. Describes food that is seasoned just right, satisfying the tastes of the eater. 
2. It refers to flavors that align with the eater's preferences or habits.'",真好食。你敢知影伊的口味，佮我的口味足合味的。,ID_166.png,It tastes very good. Do you know his taste? It matches mine perfectly.
172,吊車尾,1. 敬陪末座。原意為剛好趕上最後一個上車，後引申為在比賽中排最後一名。,"'The translation is: '1. Honored to be last. Originally it meant just making it onto the last vehicle, but later is extended to mean ranking last in a competition.'",伊真會曉讀冊，毋過這學期煞予人𤆬去吊車尾。,ID_172.png,"He is very good at studying, but this semester he was the last in the class."
174,同情,1. 看到別人的遭遇而感到憐憫。,'1. Feeling pity for the experiences of others.',你真好心，毋過我無愛人共我同情。,ID_174.png,"You are kind-hearted, but I don't want anyone to pity me."
182,向前,1. 往前、向著前方。,"'1. Move forward, towards the front.'",行路愛向前，做代誌莫越頭。,ID_182.png,"Walk forward, don't look back when doing things."
188,吩咐,"1. 叮嚀、叮囑。
2. 口頭上派遺、囑咐。有上級命令下屬的意味。
3. 交代。
4. 預訂。","'1. Reminders, admonitions.
2. Verbal bequests, instructions. It implies a superior giving orders to subordinates.
3. Handover or entrusting.
4. Reservation.'",吩咐代誌，伊無咧聽。,ID_188.png,He didn't listen when told to do something.
195,呼請,"1. 呼叫請求、召喚請求。
2. 用某種儀式召請神明或祖先降臨。","'1. Call for requests, summon requests.
2. Invoking gods or ancestors with a certain ceremony.'",你著愛緊去予伊呼請。,ID_195.png,You need to go quickly and invite him.
196,咇噗跳,1. 因緊張或害怕而使得心跳加速。,'1. The heartbeat speeds up due to nervousness or fear.',歡喜甲咇噗跳。,ID_196.png,Happy to jump.
198,咧欲,1. 快要、將要。,"Translate the following text into English:
'1. Soon, about to.'",代誌攏咧欲做煞矣。,ID_198.png,The thing is almost finished.
200,哀怨,1. 形容哀傷怨恨。,"""1. Describe sorrow and resentment.""",伊的面色有淡薄仔哀怨。,ID_200.png,His expression has a slight look of sadness.
201,品,"1. 指人的格調與德性。
2. 約定、議定。
3. 誇耀、吹捧。
4. 某一類東西的總稱。
5. 等級。","'1. Refers to a person's temperament and morality.
2. Agreement, resolution.
3. Boast, flatter.
4. The general term for a certain kind of thing.
5. Rank.'",伊的穿插真有品味。,ID_201.png,His attire has a very refined taste.
210,喙鬚,1. 鬍鬚。,The translation in English is: '1. Beard.',你敢會曉剃喙鬚？,ID_210.png,Do you know how to shave your beard?
211,喙鬚,1. 鬍鬚。,'1. Beard.',伊無喙鬚，若囡仔。,ID_211.png,"He has no beard, like a child."
212,喙齒,1. 牙齒。,'1. Tooth.',伊的喙齒有夠利。,ID_212.png,His teeth are very sharp.
216,嗽,1. 咳、咳嗽。,"Translate the following text into English:
'1. Cough, coughing.'",彼个人有嗽，你著去𤆬伊去看醫生,ID_216.png,"That person has a cough, you should take him to see the doctor."
234,囝婿,1. 女婿。稱謂。女兒的丈夫。,"'Translate the following text into English:
'1. Son-in-law. A title. The husband of one's daughter.'",有才調當阿公的人，才有人欲做你囝婿。,ID_234.png,Only those who can be grandfathers can have people want to become their daughters-in-law.
237,囡仔,1. 小孩子。,'1. Little child.',囡仔有夠古錐。,ID_237.png,The child is very cute.
239,囡仔工,1. 年齡幼小的勞動者、童工。,"'1. Young laborers, child laborers.'",人攏講，伊是囡仔工。,ID_239.png,People say he is a child worker.
246,固定,"1. 固定、確定。
2. 穩定的、不變動的。","'1. Fixed, certain.
2. Stable, unchanging.'",伊逐工攏固定會來。,ID_246.png,He comes every day.
248,圍爐,1. 除夕夜的時候，全家人一起圍著吃年夜飯。,"'1. On the eve of Lunar New Year, the whole family gathers together to have the New Year's Eve dinner.'",逐家攏欲轉去圍爐。,ID_248.png,Everyone wants to go home for the New Year's Eve.
249,圍爐,1. 除夕夜的時候，全家人一起圍著吃年夜飯。,"'1. On New Year's Eve, the whole family gathers together to have the reunion dinner.'",伊有咧做圍爐菜。,ID_249.png,He is making the dishes for the New Year's Eve.
252,圓圓,1. 圓圓的。,'1. Round.',伊面仔像碗公咧，閣會當食甲圓圓。,ID_252.png,"His face is like a bowl, and he can still eat until he's fat."
259,地方,"1. 區域、地區。
2. 對國家或中央政府而言。","1. Region, area.
2. Relative to the national or central government.",伊是地方的士紳。,ID_259.png,He is a local gentleman.
266,坐位,"1. 座位。
2. 登基、即位。","'1. Seat.
2. Ascend to the throne, accede to the throne.'",伊共我叫去邊仔的坐位。,ID_266.png,He called me to the side seat.
269,垂,"1. 液體滴下來。
2. 東西下墜、向下掉落。
3. 流傳。","1. Liquid drops down.
2. Things fall down or drop.
3. Circulate or spread.",樹枝予風吹甲落到塗跤，若親像人直直頭垂。,ID_269.png,"The branches of the tree were blown down to the ground, just like a person with their head hanging low."
270,坵,1. 塊、畦。計算田地的單位。,"'Translate the following text to English: 
'1. Kuai, Qu. Units for measuring farmland.'",頭前一坵田無種，後壁煞有。,ID_270.png,"There is no cultivation in the front field, but there is in the back field."
271,坱埃,"1. 灰塵、塵埃。隨風翻飛的塵土。
2. 形容塵土飛揚的樣子。","'1. Dust, dust particles. Dust swirling with the wind.
2. Describing the appearance of dust flying about.'",風飛沙，坱埃。,ID_271.png,The wind is blowing sand and dust.
275,埕,1. 庭院、廣場、曬物場。,"'1. Courtyard, square, drying yard.'",伊的厝埕誠大。,ID_275.png,His courtyard is very large.
276,埕斗,1. 院子。,'1. Courtyard.',阿媽的厝頂是塗埕斗。,ID_276.png,Grandma's roof is a concrete floor.
279,報,"1. 告訴、告知。
2. 申請加入。
3. 回應、答覆。
4. 報銷（帳款）。
5. 提供消息的出版品。","'1. Inform, notify.
2. Apply to join.
3. Respond, reply.
4. Reimburse (account).
5. Publications providing news.'",伊是阮的報馬仔。,ID_279.png,He is our informant.
282,塌,"1. 凹陷。
2. 虧、賠。
3. 補足，把不足的補上。
4. 將弧度相似的東西依其弧度互疊套在一起。","'1. Concave.
2. Deficit, loss.
3. Supplement, make up for the deficiency.
4. Stack objects with similar radians together according to their radian.'",這个所在予人拆甲倒塌落來。,ID_282.png,This place collapsed due to being torn down.
290,塗跤,1. 地面、地上、地板。,"'Translate the following text into English: 
'1. Ground, surface, floor.'",塗跤伊也無掃。,ID_290.png,The floor is not swept.
291,塚,1. 墳墓。是一種較文雅的說法。,"'The term ""tomb"" is a more refined way of saying it.'",古早有墓地叫做塚。,ID_291.png,"In the past, there were cemeteries called tumuli."
294,壁,1. 牆垣。,The translation for '1. 牆垣。' is '1. Wall.',伊是面壁思過。,ID_294.png,He is facing the wall and meditating.
295,壁櫥,1. 嵌入牆裡的櫥櫃。,'1. The cabinet embedded in the wall.',你的房間內，敢有囥壁櫥？,ID_295.png,Do you have a closet in your room?
298,夏,"1. 一年中的第二季。
2. 古朝代名。
3. 姓氏。
4. 附錄－百家姓","'1. The second season of the year.
2. The name of an ancient dynasty.
3. Surname.
4. Appendix - Hundred Family Surnames.'",春去無蹤，夏來花紅。,ID_298.png,"Spring has passed, summer is here."
