origin,destination,otherOptions,type,audio_filename,romanization
服務,Service,"Shopping,Help,Goods",word,048_服務.wav,ho̍k-bū
商品,Goods,"Products,Shopping,Refund",word,049_商品.wav,siong-phín
退款,Refund,"Return,Price,Goods",word,050_退款.wav,thè-khuán
醫生,Doctor,"Nurse,Surgeon,Pharmacist",word,051_醫生.wav,i-sing
病院,Hospital,"Clinic,Medical center,Pharmacy",word,052_病院.wav,pēnn-īnn
藥,Medicine,"Prescription,Pharmacy,Treatment",word,053_藥.wav,io̍h
疼,Pain,"Ache,Sore,Health",word,054_疼.wav,thiànn
健康,Health,"Pain,Medicine,Disease",word,055_健康.wav,kiān-khong
病,Disease,"Surgery,Medicine,Health",word,056_病.wav,pēnn
藥仔店,Pharmacy,"Hospital,Medicine,Clinic",word,057_藥仔店.wav,io̍h-á-tiàm
急救,First aid,"CPR,Treatment,Emergency",word,058_急救.wav,kip-kiù
預約,Appointment,"Meeting,Doctor,Session",word,059_預約.wav,ī-iok
手術,Surgery,"Medicine,Procedure,Treatment",word,060_手術.wav,tshiú-su̍t
家庭,Family,"Relative,Household,Grandparents",word,061_家庭.wav,ka-tîng
父親,Father,"Brother,Mother,Parent",word,062_父親.wav,hū-tshin
母親,Mother,"Brother,Father,Parent",word,063_母親.wav,bú-tshin
兄弟,Brother,"Sister,Sibling,Cousin",word,064_兄弟.wav,hiann-tī
姊妹仔,Sister,"Brother,Sibling,Cousin",word,065_姊妹仔.wav,tsí-muē-á
夫妻,Spouse,"Father,Husband,Wife",word,066_夫妻.wav,hu-tshe
朋友,Friend,"Family,Child,Sister",word,067_朋友.wav,pîng-iú
囡仔,Child,"Sister,Brother,Infant",word,068_囡仔.wav,gín-á
親情,Relative,"Family,Friend,Child",word,069_親情.wav,tshin-tsiânn
公媽,Grandparents,"Grandfather,Grandmother,Great-grandparents",word,070_公媽.wav,kong-má
學校,School,"College,University,Hospital",word,071_學校.wav,ha̍k-hāu
老師,Teacher,"Instructor,Professor,Student",word,072_老師.wav,lāu-su
學生,Student,"Pupil,Scholar,Teacher",word,073_學生.wav,ha̍k-sing
冊,Book,"Exam,Course,Journal",word,074_冊.wav,tsheh
課程,Course,"Class,Book,Program",word,075_課程.wav,khò-tîng
考試,Exam,"Project,Homework,Grade",word,076_考試.wav,khó-tshì
作業,Homework,"Exam,Task,Project",word,077_作業.wav,tsok-gia̍p
教室,Classroom,"Office,Study room,Laboratory",word,078_教室.wav,kàu-sik
成績,Grade,"Price,Quality,Result",word,079_成績.wav,sîng-tsik
學位,Degree,"School,Certificate,Qualification",word,080_學位.wav,ha̍k-uī
運動,Sports,"Music,Exercise,Activity",word,081_運動.wav,ūn-tōng
音樂,Music,"Song,Movie,Sports",word,082_音樂.wav,im-ga̍k
電影,Movie,"Music,Show,Picture",word,083_電影.wav,tiān-iánn
書籍,Books,"Novels,Comics,Movie",word,084_書籍.wav,su-tsi̍k
畫圖,Painting,"Drawing,Sketching,Art",word,085_畫圖.wav,uē-tôo
旅行,Travel,"Trip,Journey,Dancing",word,086_旅行.wav,lú-hîng
園藝,Gardening,"Farming,Planting,Cooking",word,087_園藝.wav,uân-gē
料理,Cooking,"Baking,Frying,Fishing",word,088_料理.wav,liāu-lí
釣魚,Fishing,"Boating,Cooking,Swimming",word,089_釣魚.wav,tiò-hî
跳舞,Dancing,"Singing,Gardening,Music",word,090_跳舞.wav,thiàu-bú
救命,Help,"Service,Escape,First aid",word,091_救命.wav,kiù-miā
火災,Fire,"Flame,Blaze,Danger",word,092_火災.wav,hué-tsai
警察,Police,"Officer,Detective,Doctor",word,093_警察.wav,kíng-tshat
醫生,Doctor,"Medic,Nurse,Paramedic",word,094_醫生.wav,i-sing
緊急,Emergency,"Urgent,Danger,Immediate",word,095_緊急.wav,kín-kip
危險,Danger,"Risk,Threat,Help",word,096_危險.wav,guî-hiám
走去予人追,Escape,"Run,Fire,Danger",word,097_走去予人追.wav,tsáu-khì hōo-lâng tui
報案,Report,"First aid,Danger,Alert",word,098_報案.wav,pò-àn
急救,First aid,"Medicine,CPR,Help",word,099_急救.wav,kip-kiù
地動,Earthquake,"Tremor,Event,Weather",word,100_地動.wav,tē-tāng
天氣,Weather,"Earthquake,Forecast,Temperature",word,101_天氣.wav,thinn-khì
新聞,News,"Report,Update,Books",word,102_新聞.wav,sin-bûn
事件,Event,"Report,Weather,Incident",word,103_事件.wav,sū-kiānn
時間,Time,"Hour,Minute,Date",word,104_時間.wav,sî-kan
日期,Date,"Time,Month,Year",word,105_日期.wav,ji̍t-kî
色水,Color,"Sound,Shade,Time",word,106_色水.wav,sik-tsuí
聲音,Sound,"Color,Tone,Voice",word,107_聲音.wav,siann-im
圖畫,Picture,"Color,Movie,Snapshot",word,108_圖畫.wav,tôo-uē
批,Letter,"Mail,Sound,Message",word,109_批.wav,phue
問題,Question,"Report,Letter,Issue",word,110_問題.wav,būn-tê
